target,id,date,user,text,year,month,day,hour
0,1467814119,2009-04-07 01:20:40,cooliodoc,I baked you a cake but I ated it,2009,4,7,1
0,1467877496,2009-04-07 01:37:16,lizzzzlemon,yoyoyo my internet has been rude tonight it JUST reconnected and I m about to go to bed,2009,4,7,1
0,1467894593,2009-04-07 01:41:52,Tanja71,Oh Did I mention it quot Gooooood Moooorniiiiiiing quot from Germany Im back in my cage or better my office,2009,4,7,1
0,1467960840,2009-04-07 02:00:31,mickeyness,my english professor would be ashamed,2009,4,7,2
0,1467962938,2009-04-07 02:01:04,jess___x,Boredd Colddd Internet keeps stuffing up,2009,4,7,2
0,1467981007,2009-04-07 02:06:11,fleurybanery,You poor spunky its so sad my Rotti made it to 10 and I had to go down the same path I know how you feel,2009,4,7,2
0,1467987971,2009-04-07 02:08:12,txcranberry,did you see Donnie s tweet stats almost 700 replies and no JRK,2009,4,7,2
0,1468093070,2009-04-07 02:40:31,Lexi_83,Extremely jealous,2009,4,7,2
0,1468099958,2009-04-07 02:42:46,hypatiadotca,Slideshare s embed code is annoying me Sorry about the tiny embed fail,2009,4,7,2
0,1468135920,2009-04-07 02:54:49,erikafradd,I hate cooking dinner,2009,4,7,2
0,1468158366,2009-04-07 03:02:02,S0nicbob,Got home after 10 in the end back in for a 9am start aswell,2009,4,7,3
0,1468252457,2009-04-07 03:33:25,gbay,u can t sip crap vodka Nope not done c25k got ominous knee pain not good,2009,4,7,3
0,1468279432,2009-04-07 03:42:52,turkish_lawyer,Obama is visiting istanbul today therefore all main roads have been closed cause and effect,2009,4,7,3
0,1468304197,2009-04-07 03:51:33,Ronamurder,hoping I can fall asleep after watching Knowing Definitely wasn t National Treasure,2009,4,7,3
0,1468357965,2009-04-07 04:10:49,FenOswin,Just remembered that I ve forgotten my best friends birthday,2009,4,7,4
0,1468404837,2009-04-07 04:27:52,Serendipi,I normally go with pumpkin patch but a bit skint at the minute,2009,4,7,4
0,1468410636,2009-04-07 04:30:04,simonmiddleweek,Another morning at net towers still on deadline,2009,4,7,4
0,1468490260,2009-04-07 04:59:44,omgitsnoelle,No sun here and I was hoping to sit out on the balcony,2009,4,7,4
0,1468517885,2009-04-07 05:09:29,pinkmonkies,No that s not him in the picture I don t have any pics yet,2009,4,7,5
0,1468555873,2009-04-07 05:23:30,TRock21,Taking the rents to the airport not excited about being up this early Have to go to work at 8,2009,4,7,5
0,1468599754,2009-04-07 05:39:06,achmadsirman,gah poor illazilla and shame about the mutt but best of luck this time around,2009,4,7,5
0,1468625547,2009-04-07 05:48:27,m3kx,Ok well I think I just got a spoiler for this episode I haven t seen it yet i m in the UK gutted now,2009,4,7,5
0,1468749636,2009-04-07 06:31:37,RobertCustons,Surprised by the new Eminem song don t think he should have gone for comedy again maybe it will grow on me,2009,4,7,6
0,1468754163,2009-04-07 06:33:09,random_bloke,Jeez today is gona be the longest day in bloody history sat here,2009,4,7,6
0,1468794978,2009-04-07 06:46:27,ABBAlove,Trying to sort out my spazed out hair,2009,4,7,6
0,1468874218,2009-04-07 07:10:53,florabell,sorry wish employers had decency to let ppl know either way but keep trying,2009,4,7,7
0,1468908021,2009-04-07 07:21:02,hollyclarkx,is well bored and has to wait for 3 hours to start getting ready,2009,4,7,7
0,1469048372,2009-04-07 07:59:32,AbbyHulk,Hope i did okay,2009,4,7,7
0,1469049688,2009-04-07 07:59:53,jellybeansoup,i liked kutner house,2009,4,7,7
0,1469216231,2009-04-07 08:38:29,xoDREAMERxo,School again,2009,4,7,8
0,1469244032,2009-04-07 08:44:24,antechamber,Poor Britney As if it s not hard enough being her she also ust got pwned by Stevie Nicks,2009,4,7,8
0,1469263284,2009-04-07 08:48:32,DEfusion,Oh no my server has just died support e g brother in law are onto it though,2009,4,7,8
0,1469292851,2009-04-07 08:54:44,copperlegend,I agree Cleaning my car off made me really cold though,2009,4,7,8
0,1469316410,2009-04-07 08:59:40,danalar,loads of people are going to t4 on the beach is there anyone who ISNT going,2009,4,7,8
0,1469415741,2009-04-07 09:18:46,r0wdyy,Ughhh sitting in the library for 4 hours again,2009,4,7,9
0,1469447604,2009-04-07 09:24:43,quelquefois_R,Unless I want to see Will for a day and a half every week for god knows how long then no,2009,4,7,9
0,1469504207,2009-04-07 09:34:57,anja89,back from university happy about the weather the only good thing today,2009,4,7,9
0,1469645691,2009-04-07 10:00:08,Augustina22,im lonely keep me company 22 female new york,2009,4,7,10
0,1469695655,2009-04-07 10:08:56,andrey_romanoff,welcome to the club,2009,4,7,10
0,1469697558,2009-04-07 10:09:14,shenke2,Sorry for the bad weather We hate it too Hope you still have a good time in Ohio,2009,4,7,10
0,1469699696,2009-04-07 10:09:37,yusinas,ocram twittea la sentencia estoy en clases,2009,4,7,10
0,1469726398,2009-04-07 10:14:20,Mimix321,grabbing some food before class maybe 11 05 12 20 amp 12 30 3 10 then nap or swimming and some speech thing for class at 6ish e bye,2009,4,7,10
0,1469835705,2009-04-07 10:33:37,Ad_Photographer,Finally got a second battery for my Canon 5D Mark II Why are Batteries so hard to get photog,2009,4,7,10
0,1469869628,2009-04-07 10:39:39,Zwaapeh,Just played abit of quot Left 4 Dead quot Scared to bits now,2009,4,7,10
0,1469899728,2009-04-07 10:45:05,simplelillian,is not very happy today,2009,4,7,10
0,1469955147,2009-04-07 10:55:12,jmbatchelor,still waiting gah the suspense fb,2009,4,7,10
0,1469982393,2009-04-07 11:00:06,tawnylyn67,I wish it were warmer since I have errands to run today,2009,4,7,11
0,1469984656,2009-04-07 11:00:24,Adatur,Busy day today,2009,4,7,11
0,1470067664,2009-04-07 11:15:04,LonesomeRoad,I had a tough time doing anything here yesterday around 3 3 30,2009,4,7,11
0,1470119351,2009-04-07 11:24:20,Jane_Craddock,Nobody is twittering,2009,4,7,11
0,1470122217,2009-04-07 11:24:51,_micki_,I have no idea what I should do its very boring,2009,4,7,11
0,1470175061,2009-04-07 11:34:19,_xotashhh,Aw Frank Airport people are always dead grumpy They ve got like 24 7 jetlag,2009,4,7,11
0,1470175179,2009-04-07 11:34:20,Positive_Vibes,crap i m a little bit old school but i like blockbuster,2009,4,7,11
0,1548487739,2009-04-18 00:05:25,celtic_thistle,I m so upset with this phone I hope it isn t broken for good Stupid T Mobile,2009,4,18,0
0,1548489192,2009-04-18 00:05:40,BenIgrisan,I drug my feet to long on spending 30 to see Turbonegro tonight and the show sold out,2009,4,18,0
0,1548722327,2009-04-18 00:46:22,Byron1994,had his calf lock on him again,2009,4,18,0
0,1548780322,2009-04-18 00:57:13,tA_dA_trAcEy,spring break is almost over but at the same time about it,2009,4,18,0
0,1548805337,2009-04-18 01:01:26,lcarillo,Waited an hour to be seated an hour to get our food and then the food was cold Tres Agaves resturant,2009,4,18,1
0,1548834230,2009-04-18 01:06:56,amadisco,My dislocated toe has decided to redislocate itself so now its reverse dislocated And it hurts,2009,4,18,1
0,1550753560,2009-04-18 10:09:56,uh_anna,stuck without a ride taking the bus home from work without an ipod,2009,4,18,10
0,1550758819,2009-04-18 10:10:55,kdsteinau,Going to DISNEYLAND Super stoked Already missin the bf though,2009,4,18,10
